Wcoh,A,omega_c
5,2.4781878661906509e-02,2.0802556251322057e+00
10,1.7539469107745502e-02,1.8358985694312548e+00
20,1.2351659702262199e-02,1.7067672444797382e+00
40,8.7275631949950781e-03,1.6444792036112805e+00
80,6.1979334069277364e-03,1.6086796053654089e+00
160,4.4003343740811824e-03,1.5895424403807799e+00
